species,value,species_mod,aphia_id,sens
Abarenicola affinis,1,Abarenicola affinis,172999,AZTI
Abarenicola affinis affinis,1,Abarenicola affinis affinis,173001,AZTI
Abarenicola affinis chilensis,1,Abarenicola affinis chilensis,335346,AZTI
Abarenicola claparedei,1,Abarenicola claparedei,129864,AZTI
Abarenicola claparedi,1,Abarenicola claparedi,332877,AZTI
Abarenicola sp.,1,Abarenicola,129205,AZTI
Abietinaria abietina,2,Abietinaria abietina,117870,AZTI
Abietinaria pulchra,2,Abietinaria pulchra,117873,AZTI
Abietinaria sp.,1,Abietinaria,117225,AZTI
Ablabesmyia annulata,4,Ablabesmyia annulata,NA,AZTI
Ablabesmyia mallochi,4,Ablabesmyia mallochi,NA,AZTI
Ablabesmyia monilis,4,Ablabesmyia monilis,NA,AZTI
Ablabesmyia sp.,4,Ablabesmyia,987209,AZTI
Abludomelita aculeata,3,Abludomelita aculeata,102786,AZTI
Abludomelita gladiosa,3,Abludomelita gladiosa,102787,AZTI
Abludomelita obtusata,3,Abludomelita obtusata,102788,AZTI
Abra aequalis,1,Abra aequalis,293683,AZTI
Abra alba,3,Abra alba,141433,AZTI
Abra kinoshitai,2,Abra kinoshitai,605823,AZTI
Abra longicallus,3,Abra longicallus,141434,AZTI
Abra lunella,2,Abra lunella,507230,AZTI
Abra nitida,3,Abra nitida,141435,AZTI
Abra opalina,3,Abra opalina,NA,AZTI
Abra ovata,3,Abra ovata,146467,AZTI
Abra prismatica,1,Abra prismatica,141436,AZTI
Abra segmentum,3,Abra segmentum,141438,AZTI
Abra sp.,3,Abra,138474,AZTI
Abra tenuis,3,Abra tenuis,141439,AZTI
Abrina lunella,2,Abrina lunella,298127,AZTI
Abrina skinoshitai,2,Abrina skinoshitai,298131,AZTI
Abrina sp.,2,Abrina,298126,AZTI
Abyssoninoe hibernica,1,Abyssoninoe hibernica,146469,AZTI
Abyssoninoe scopa,1,Abyssoninoe scopa,130223,AZTI
Abyssoninoe scopa aequilobata,1,Abyssoninoe scopa aequilobata,225828,AZTI
Acanthocardia aculeata,1,Acanthocardia aculeata,138990,AZTI
Acanthocardia echinata,1,Acanthocardia echinata,138992,AZTI
Acanthocardia paucicostata,1,Acanthocardia paucicostata,138993,AZTI
Acanthocardia sp.,1,Acanthocardia,137732,AZTI
Acanthocardia tuberculata,1,Acanthocardia tuberculata,381057,AZTI
Acanthochitona crinita,1,Acanthochitona crinita,138675,AZTI
Acanthochitona fascicularis,1,Acanthochitona fascicularis,138677,AZTI
Acanthochitona scutigera,1,Acanthochitona scutigera,386515,AZTI
Acanthocythereis dunelmensis,1,Acanthocythereis dunelmensis,128359,AZTI
Acanthodoris hudsoni,1,Acanthodoris hudsoni,581689,AZTI
Acanthodoris rhodoceras,1,Acanthodoris rhodoceras,535687,AZTI
Acanthohaustorius intermedius,1,Acanthohaustorius intermedius,158014,AZTI
Acanthohaustorius millsi,1,Acanthohaustorius millsi,158015,AZTI
Acanthohaustorius sp.,1,Acanthohaustorius,158013,AZTI
Acanthomysis aspera,2,Acanthomysis aspera,226254,AZTI
Acanthonyx lunulatus,1,Acanthonyx lunulatus,107312,AZTI
Acanthophiothrix armata,1,Acanthophiothrix armata,NA,AZTI
Acanthopriapulus horridus,0,Acanthopriapulus horridus,175022,AZTI
Acanthoserolis schythei,0,Acanthoserolis schythei,175144,AZTI
Acanthostepheia malmgreni,2,Acanthostepheia malmgreni,102864,AZTI
Acaudina molpadioides,2,Acaudina molpadioides,241765,AZTI
Aceroides latipes,2,Aceroides latipes,NA,AZTI
Acetes chinensis,1,Acetes chinensis,377409,AZTI
